NUMBER,NAME,LOCATION,TYPE,General Observations,SUMMIT CRATER,Crater Observations,Underwater Extent,Latitude,Longitude,Elevation Min (m),Elevation Max (m),Basal Area (km2),Basal Width (km),Minor Basal Axis (km),Major Basal Axis (km),Summit Area (km2),Summit Width (km),Height (km),Height Max (km),Volume (km3),Volume Max (km3),Height / Basal width,Summit width / Basal width,Ellipticity index [outline],Irregularity index [outline],Ellipticity index [avg. contours],Irregularity index [avg. contours],Mean Slope [total] (º),Mean Slope [flank] (º),Mean Slope [low flank] (º),Mean Slope [main flank] (º),Mean Slope [summit] (º),Max. Avg. Slope (º),Max. Avg. Slope Height Fraction,Azimuth Major Basal Axis (º),Avg. Azimuth Elevation contours (º),Sec. Peaks [total],Sec. Peaks [flank],Sec. Peaks [summit],Holes [total],Holes [flank],Holes [summit],Contours [flank],Contours [summit],Elevation Lowest Contour (m),Elevation Fraction Lowest Contour,Width Lowest Contour (m),Elevation Summit Region Contour (m),Elevation Fraction Summit Region Contour,Crater Elevation Min (m),Crater Elevation Min [fraction],Crater Area (km2),Crater Width (km),Major Crater Axis (km),Azimuth Major Crater Axis (º),Crater Depth (km),Crater Depth Max (km),Crater Volume (km3),Crater Volume Max (km3),Ellipticity index [crater outline],Irregularity index [crater outline],Crater Depth / Crater Width,Crater Width / Edifice Width,Crater Depth / Edifice Height,Crater Volume / Edifice Volume,Mean Crater Slope (º)
1000-04=,Zheltovsky,Kamchatka,Stratovolcano,,NO,Small crater,No,51.576,157.327,245,1912,64.5,9.07,8.36,9.85,1.57,1.41,1.44,1.67,22.4,37.1,0.159,0.156,1.26,1.21,1.23,1.07,15.7,15.5,12.1,19.5,24.1,32.2,0.84,163,121,4,2,2,0,0,0,19,5,750,0.30,6.28,1650,0.84, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1000-042,Belenkaya,Kamchatka,Stratovolcano,,NO,,No,51.750,157.266,298,874,5.57,2.66,2.16,3.25,0.19,0.50,0.48,0.58,0.81,1.25,0.182,0.187,1.49,1.19,1.36,1.05,19.9,19.9,16.8,24.0,19.6,27.2,0.78,47,13,0,0,0,0,0,0,7,1,500,0.35,1.85,800,0.87, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1000-05=,Ksudach,Kamchatka,Stratovolcano,No closed elevation contours on flank,YES,Crater considered as summit region,No,51.764,157.583,68,1069,390,22.3,20.0,25.0,48.5,7.86,0.79,1.00,84,165,0.035,0.353,1.28,1.19,ND,ND,7.4,7.4,ND,ND,ND,ND,ND,65,ND,21,21,ND,0,0,ND,0,ND,ND,ND,ND,crater,ND,411,0.34,48.5,7.86,8.61,117,0.47,0.62,11.6,20.9,1.20,1.16,0.06,0.35,0.60,0.14,12.8
1000-053,Khodutka,Kamchatka,Stratovolcanoes,,NO,,No,52.062,157.710,344,2042,36.7,6.84,5.55,7.80,0.16,0.46,1.38,1.70,12.4,22.7,0.201,0.067,1.49,1.26,1.37,1.07,21.1,21.1,17.9,26.4,23.4,32.5,0.95,70,116,2,2,0,0,0,0,20,1,1000,0.39,4.22,1950,0.95, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1000-057,Golaya,Kamchatka,Stratovolcano,,NO,,No,52.262,157.791,317,864,9.66,3.51,3.07,3.89,0.26,0.58,0.41,0.55,1.00,2.29,0.117,0.164,1.25,1.15,1.91,1.04,12.7,12.6,10.2,16.3,15.5,21.7,0.88,139,12,0,0,0,0,0,0,6,1,550,0.43,2.30,800,0.88, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1000-058,Asacha,Kamchatka,Complex volcano,Summit region includes several peaks,NO,,No,52.355,157.829,489,1879,142,13.4,10.9,15.7,22.8,5.38,1.15,1.39,45,77,0.086,0.401,1.43,1.24,2.16,1.73,14.7,13.3,10.9,17.2,22.2,21.2,0.62,140,122,13,7,6,0,0,0,8,10,1000,0.37,9.28,1350,0.62, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1000-059,Visokiy,Kamchatka,Stratovolcano,,NO,,No,52.435,157.933,659,1217,7.81,3.15,2.83,3.42,0.33,0.64,0.49,0.56,1.19,1.71,0.157,0.204,1.28,1.15,1.57,1.05,17.5,17.6,13.1,21.0,15.2,24.6,0.70,90,180,0,0,0,0,0,0,8,1,800,0.25,2.49,1150,0.88, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1000-06=,Mutnovsky,Kamchatka,Complex volcano,,YES,Crater considered as summit region; not on summit,No,52.448,158.196,311,2287,71.0,9.51,8.19,10.4,4.21,2.32,1.31,1.98,27.7,71.2,0.138,0.244,1.22,1.23,1.56,1.26,19.5,19.5,17.1,22.0,ND,18.2,0.53,30,148,0,0,ND,0,0,ND,3,ND,1250,0.48,6.95,crater,ND,1392,0.55,4.21,2.32,2.81,50,0.23,0.77,0.49,2.04,1.47,1.13,0.10,0.24,0.18,0.02,20.8
1000-07=,Gorely,Kamchatka,[Stratovolcanoes],Edifice within caldera is considered,NO,Small craters,No,52.557,158.029,921,1797,54.9,8.36,6.99,10.4,4.71,2.45,0.75,0.88,13.0,19.4,0.089,0.293,1.58,1.17,1.94,1.10,11.8,11.4,10.4,13.5,15.8,18.7,0.78,124,112,6,2,4,3,2,1,7,3,1300,0.43,5.18,1600,0.78, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1000-08=,Opala,Kamchatka,[Stratovolcano],Edifice within caldera is considered,NO,,No,52.543,157.339,355,2434,46.2,7.67,6.77,8.55,0.06,0.28,1.62,2.08,17.1,35.0,0.212,0.037,1.32,1.21,1.25,1.07,21.2,21.2,16.9,27.9,18.4,34.6,0.86,52,89,0,0,0,0,0,0,26,0,1150,0.38,4.88,2400,0.98, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1000-083,Vilyuchik,Kamchatka,Stratovolcano,,NO,,No,52.704,158.281,20,2123,47.2,7.75,6.41,8.96,0.21,0.52,1.68,2.10,20.5,40.6,0.217,0.067,1.41,1.26,1.33,1.11,23.5,23.5,22.4,24.2,26.7,34.9,0.87,120,90,2,2,0,0,0,0,27,2,700,0.32,6.15,2000,0.94, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1000-09=,Koryaksky,Kamchatka,Stratovolcano,,NO,,No,53.320,158.711,793,3428,80.8,10.1,8.42,11.8,0.23,0.54,2.23,2.64,40.2,69.5,0.220,0.053,1.51,1.33,1.41,1.08,22.4,22.4,17.6,29.7,26.9,35.3,0.88,108,109,0,0,0,0,0,0,34,2,1650,0.33,6.46,3300,0.95, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1000-10=,Avachinsky,Kamchatka,Stratovolcano,Summit region includes several peaks,NO,,No,53.256,158.834,552,2713,173,14.9,13.2,16.9,19.3,4.95,1.91,2.16,75,111,0.129,0.333,1.36,1.24,2.05,1.43,16.9,15.9,13.5,22.3,25.4,25.6,0.55,94,121,13,7,6,0,0,0,12,18,1250,0.32,8.84,1800,0.58, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1000-11=,Dzenzursky,Kamchatka,Compound volcano,Outline delineation problematic; summit region includes several peaks,NO,,No,53.638,158.928,635,2103,92.6,10.9,8.03,13.7,14.6,4.32,1.12,1.47,23.5,48.5,0.104,0.397,1.71,1.34,2.19,1.71,16.7,15.0,14.3,19.7,25.9,22.4,0.56,97,149,12,7,5,1,1,0,4,13,1300,0.45,5.71,1450,0.56, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1000-12=,Zhupanovsky,Kamchatka,Compound volcano,,NO,,No,53.588,159.149,587,2897,115,12.1,11.0,13.6,1.76,1.50,2.03,2.31,58,94,0.167,0.123,1.35,1.23,2.25,1.09,19.6,19.6,17.0,27.8,19.9,30.9,0.85,157,98,4,4,0,0,0,0,21,3,1700,0.48,6.13,2700,0.91, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1000-123,Bakening,Kamchatka,Stratovolcano,,NO,,No,53.904,158.070,664,2224,41.0,7.23,6.33,8.27,0.22,0.53,1.18,1.56,10.9,25.4,0.163,0.073,1.34,1.22,1.52,1.13,19.3,19.3,17.0,26.6,20.3,31.2,0.89,106,38,7,7,0,0,0,0,15,1,1450,0.50,3.57,2150,0.95, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1000-13=,Karymsky,Kamchatka,Stratovolcano,,NO,,No,54.048,159.443,693,1509,9.14,3.41,2.99,3.73,0.11,0.37,0.70,0.82,1.52,2.67,0.204,0.107,1.24,1.20,1.18,1.01,18.4,18.3,13.6,24.6,22.5,33.3,0.81,152,170,0,0,0,0,0,0,11,1,950,0.31,2.30,1450,0.93, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1000-16-,Taunshits,Kamchatka,Stratovolcano,,NO,,No,54.527,159.804,750,2297,60.7,8.79,6.69,10.4,0.59,0.87,1.18,1.55,17.9,35.2,0.134,0.098,1.52,1.25,1.74,1.20,17.3,17.3,14.8,23.8,18.1,32.5,0.90,163,22,5,5,0,3,3,0,16,1,1450,0.45,4.74,2200,0.94, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1000-19=,Krasheninnikov,Kamchatka,[Stratovolcanoes],Edifice within caldera is considered; summit region includes two peaks,YES,,No,54.595,160.269,812,1814,27.2,5.88,4.50,6.71,4.46,2.38,0.82,1.00,7.3,12.2,0.140,0.405,1.40,1.24,1.82,1.06,17.7,17.5,12.8,22.9,18.7,27.6,0.64,10,17,3,2,1,0,0,0,9,3,1150,0.34,4.41,1550,0.74,1692,0.88,0.39,0.71,0.89,45,0.08,0.10,0.02,0.03,1.59,1.07,0.11,0.12,0.10,0.003,12.7
1000-20=,Kronotsky,Kamchatka,Stratovolcano,,NO,,No,54.753,160.533,564,3482,112,11.9,11.0,13.4,0.12,0.38,2.62,2.92,63,93,0.220,0.032,1.29,1.23,1.33,1.10,22.1,22.0,17.3,27.7,26.7,40.1,0.90,133,72,1,1,0,0,0,0,43,1,1300,0.25,8.11,3400,0.97, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1000-201,Schmidt,Kamchatka,Shield volcano,Summit region includes several peaks,NO,,No,54.899,160.640,617,1932,185,15.3,12.3,18.1,15.9,4.50,0.99,1.32,45,103,0.065,0.293,1.42,1.27,3.93,3.14,17.7,16.9,15.3,23.2,26.2,25.1,0.67,161,106,24,11,13,0,0,0,5,8,1300,0.52,7.99,1500,0.67, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1000-21=,Gamchen,Kamchatka,Complex volcano,Summit region includes three peaks,NO,,No,54.973,160.703,946,2526,59.1,8.68,7.23,10.9,4.65,2.43,1.33,1.58,18.3,33.3,0.153,0.281,1.63,1.21,2.28,1.40,18.7,17.9,15.9,25.5,27.6,27.1,0.70,145,179,7,3,4,0,0,0,8,9,1700,0.48,4.59,2050,0.70, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1000-22=,Komarov,Kamchatka,Stratovolcano,Outline delineation problematic,NO,,No,55.032,160.722,1291,2057,9.09,3.40,2.52,4.22,1.53,1.39,0.42,0.77,1.33,4.07,0.124,0.410,1.71,1.34,1.86,1.15,20.2,21.2,21.5,19.8,15.1,21.9,0.66,165,6,4,4,0,2,1,1,3,3,1800,0.66,2.02,1900,0.80, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1000-23=,Kizimen,Kamchatka,Stratovolcano,,NO,,No,55.130,160.320,980,2320,21.7,5.26,4.44,6.09,0.12,0.40,1.10,1.34,5.8,10.9,0.209,0.076,1.51,1.24,1.20,1.03,20.0,20.0,16.4,24.6,23.4,33.6,0.76,102,75,0,0,0,0,0,0,17,1,1450,0.35,3.53,2250,0.95, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1000-24=,Tolbachik,Kamchatka,Shield volcano,Summit region includes main peak and crater,YES,,No,55.831,160.326,834,3643,201,16.0,13.7,17.7,18.5,4.85,2.37,2.81,106,199,0.148,0.303,1.24,1.18,1.86,1.23,18.5,17.9,15.4,23.3,25.8,30.7,0.68,137,86,5,5,0,0,0,0,19,12,1850,0.36,9.89,2750,0.68,2506,0.60,2.24,1.69,1.98,129,0.43,0.57,0.37,0.59,1.38,1.08,0.26,0.11,0.18,0.004,29.4
1000-241,Udina [Bolshaya Udina],Kamchatka,[Stratovolcano],Only Bolshaya Udina edifice is considered,NO,,No,55.759,160.527,842,2874,61.2,8.83,7.58,10.2,0.12,0.40,1.69,2.03,22.8,43.1,0.191,0.045,1.34,1.31,1.45,1.17,21.2,21.3,16.1,25.4,11.8,35.4,0.79,146,136,3,3,0,0,0,0,30,0,1400,0.27,6.63,2850,0.99, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1000-241,Udina [Malaya Udina],Kamchatka,[Stratovolcano],Only Malaya Udina edifice is considered,NO,,No,55.744,160.617,836,1888,10.9,3.73,2.79,4.78,0.13,0.40,0.73,1.05,1.9,4.6,0.195,0.108,1.65,1.25,1.30,1.07,20.4,20.4,16.9,29.6,25.7,31.8,0.92,176,9,0,0,0,0,0,0,10,1,1350,0.49,2.03,1800,0.92, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1000-242,Zimina,Kamchatka,Stratovolcanoes,Outline delineation problematic,NO,,No,55.860,160.604,854,3054,117,12.2,9.36,15.0,0.45,0.76,1.74,2.20,43,90,0.142,0.062,1.63,1.25,1.93,1.25,19.8,19.8,17.3,24.6,25.4,35.0,0.88,136,141,9,9,0,0,0,0,25,3,1700,0.38,7.15,2900,0.93, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1000-25=,Bezymianny,Kamchatka,Stratovolcano,Outline delineation problematic,NO,,No,55.973,160.596,1424,2893,27.3,5.89,4.86,6.81,2.32,1.72,0.93,1.47,6.1,17.3,0.157,0.292,1.41,1.23,1.26,1.08,19.8,19.2,18.8,26.5,26.9,26.5,0.77,61,74,3,2,1,2,2,0,3,5,2500,0.73,2.11,2600,0.80, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1000-251,Kamen,Kamchatka,Stratovolcano,Outline delineation problematic,NO,,No,56.018,160.595,1909,4486,35.9,6.76,5.01,8.76,0.12,0.38,1.77,2.58,13.6,33.6,0.262,0.057,2.01,1.29,1.39,1.09,28.3,28.3,25.9,36.9,33.6,41.3,0.77,84,10,0,0,0,0,0,0,22,2,3300,0.54,3.20,4350,0.95, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1000-26=,Kliuchevskoi,Kamchatka,Stratovolcano,Outline delineation problematic,NO,Small crater,No,56.055,160.641,1278,4747,103,11.5,10.5,12.7,0.45,0.75,2.18,3.47,48,133,0.190,0.066,1.24,1.16,1.09,1.02,19.8,19.8,17.3,32.2,20.6,34.2,0.83,129,14,0,0,0,0,0,0,27,1,3350,0.60,4.83,4650,0.97, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1000-261,Ushkovsky,Kamchatka,Compound volcano,,NO,,No,56.113,160.508,921,4029,326,20.4,17.4,23.9,25.4,5.69,1.75,3.11,150,372,0.086,0.279,1.41,1.16,1.82,1.25,16.6,16.6,15.1,25.9,17.2,29.0,0.69,23,35,8,6,2,1,1,0,14,12,2750,0.59,9.15,3400,0.80, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1000-27=,Shiveluch,Kamchatka,Stratovolcano,Summit region includes main and secondary peak,NO,,No,56.653,161.363,503,3255,279,18.9,14.9,22.3,12.8,4.04,2.36,2.75,116,198,0.125,0.214,1.42,1.31,2.39,1.47,18.3,17.7,14.8,25.0,30.6,31.2,0.54,106,61,17,14,3,1,1,0,22,18,1300,0.29,10.8,2350,0.67, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1000-272,Khangar,Kamchatka,Stratovolcano,No closed elevation contours on flank,YES,Crater considered as summit region,No,54.761,157.406,706,1954,42.9,7.39,6.18,8.36,4.31,2.34,0.71,1.25,8.7,21.8,0.096,0.317,1.30,1.22,ND,ND,19.1,19.1,ND,ND,ND,ND,ND,23,ND,6,6,ND,0,0,ND,0,ND,ND,ND,ND,crater,ND,1371,0.53,4.31,2.34,2.70,116,0.26,0.58,0.58,2.19,1.33,1.10,0.11,0.32,0.37,0.07,14.7
1000-28=,Ichinsky,Kamchatka,Stratovolcano,,NO,,No,55.677,157.719,1089,3594,171,14.7,12.1,17.0,0.33,0.64,2.08,2.51,86,149,0.141,0.044,1.36,1.31,1.61,1.18,19.2,19.2,17.5,23.0,12.1,33.6,0.90,172,165,11,11,0,1,1,0,30,0,2100,0.40,8.24,3550,0.98, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1000-34-,Romanovka,Kamchatka,Stratovolcano,,NO,,No,55.639,158.809,503,1428,19.0,4.92,3.85,6.46,0.54,0.83,0.57,0.93,3.3,9.1,0.116,0.169,1.78,1.14,1.30,1.05,14.6,14.7,14.6,14.9,12.4,16.4,0.92,111,136,0,0,0,0,0,0,7,1,1050,0.59,3.15,1350,0.92, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1000-39-,Anaun,Kamchatka,Stratovolcano,,NO,,No,56.307,158.843,725,1776,33.9,6.57,5.52,7.48,6.29,2.83,0.95,1.05,8.3,11.6,0.144,0.431,1.34,1.19,1.36,1.08,15.0,14.1,9.9,18.6,19.1,19.9,0.40,103,28,0,0,0,0,0,0,8,9,950,0.21,5.05,1300,0.55, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1000-45-,Alney-Chashakondzha,Kamchatka,Stratovolcano,Outline delineation problematic; summit region includes several peaks,NO,,No,56.692,159.645,315,2568,505,25.4,15.1,31.9,28.8,6.06,1.60,2.25,207,480,0.063,0.239,1.59,1.26,4.35,2.67,18.1,17.8,16.7,21.1,23.1,23.8,0.70,129,170,51,38,13,1,1,0,11,11,1500,0.53,13.7,2000,0.75, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1000-46-,Cherny,Kamchatka,Stratovolcano,,NO,,No,56.824,159.675,799,1749,15.2,4.41,3.76,5.46,0.14,0.43,0.65,0.95,3.3,7.7,0.148,0.097,1.60,1.23,1.20,1.02,17.2,17.2,18.3,15.6,15.0,18.9,0.90,131,18,0,0,0,0,0,0,8,0,1350,0.58,2.89,1700,0.95, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1000-55-,Gorny Institute,Kamchatka,Stratovolcano,,NO,,No,57.329,160.197,1002,2102,80.2,10.1,8.28,12.4,0.28,0.60,0.79,1.10,16.3,34.6,0.079,0.059,1.52,1.31,1.98,1.18,14.9,14.9,14.8,15.5,13.9,28.0,0.91,133,132,19,19,0,0,0,0,8,1,1700,0.63,3.36,2050,0.95, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1000-68-,Ostry,Kamchatka,Stratovolcano,,NO,,No,58.184,160.827,1556,2514,8.68,3.32,2.46,4.04,0.11,0.37,0.62,0.96,1.37,4.39,0.185,0.112,1.50,1.37,1.33,1.06,19.4,19.4,17.0,23.3,21.2,29.1,0.93,107,128,0,0,0,0,0,0,9,1,2050,0.52,2.13,2450,0.93, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1005-06-,Changbaishan,China-E,Stratovolcano,,YES,Crater considered as summit region,No,41.993,128.077,1404,2729,281,18.9,16.7,21.5,21.2,5.20,0.99,1.33,76,160,0.052,0.275,1.36,1.21,2.00,1.93,11.3,11.3,10.4,13.0,ND,11.3,0.49,104,129,19,19,ND,4,4,ND,2,ND,2050,0.49,11.8,crater,ND,2134,0.55,21.2,5.20,6.20,171,0.40,0.60,5.46,9.65,1.42,1.22,0.08,0.27,0.40,0.07,14.8
1006-03-,Ulreung,Korea,Stratovolcano,Summit region includes several peaks,NO,,Totally,37.494,130.862,0,949,72.1,9.58,7.87,11.4,5.33,2.60,0.93,0.95,23.4,25.1,0.097,0.272,1.56,1.22,2.33,2.18,21.6,21.4,19.1,22.1,24.1,26.4,0.74,111,50,29,23,6,1,1,0,12,4,150,0.16,8.49,700,0.74, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1006-04-,Halla,Korea,Shield volcano,Outline delineation problematic,NO,,No,33.360,126.529,94,1916,576,27.1,22.9,29.8,0.37,0.69,1.67,1.82,207,300,0.062,0.025,1.26,1.11,1.89,1.25,7.1,7.0,5.1,9.0,15.1,21.2,0.96,74,82,54,53,1,1,1,0,27,1,550,0.25,19.1,1850,0.96, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1101-01-,Buldir,Aleutian Is,Stratovolcano,Summit region includes several peaks,NO,,Totally,52.348,175.910,0,647,18.4,4.84,3.91,6.27,5.47,2.64,0.63,0.65,4.4,4.7,0.130,0.546,1.85,1.15,1.76,1.28,19.8,20.2,19.6,20.5,18.6,25.0,0.23,123,83,5,2,3,2,2,0,6,5,100,0.15,4.34,350,0.54, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1101-02-,Kiska,Aleutian Is,Stratovolcano,,NO,Small crater,Partially,52.102,177.603,0,1176,33.9,6.57,5.14,8.26,0.75,0.98,1.10,1.18,12.7,15.2,0.168,0.149,1.66,1.18,1.44,1.08,20.1,20.1,19.3,20.5,16.7,23.3,0.68,75,80,2,2,0,0,0,0,17,2,250,0.21,5.52,1050,0.89, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1101-03-,Segula,Aleutian Is,Stratovolcano,,NO,,Totally,52.015,178.136,0,1119,33.1,6.49,5.50,7.86,0.22,0.52,1.11,1.12,9.6,10.0,0.171,0.081,1.48,1.20,1.37,1.07,17.7,17.7,10.6,21.0,17.0,26.5,0.71,131,78,0,0,0,0,0,0,20,1,100,0.09,5.42,1050,0.94, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1101-05-,Little Sitkin,Aleutian Is,Stratovolcano,,NO,,Partially,51.953,178.537,0,1149,13.9,4.20,3.56,5.05,0.08,0.32,0.82,1.15,3.8,7.4,0.195,0.077,1.49,1.21,1.59,1.08,24.0,24.0,23.5,24.8,17.5,31.0,0.91,96,16,1,1,0,0,0,0,12,0,550,0.48,2.77,1100,0.96, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1101-06-,Semisopochnoi,Aleutian Is,[Stratovolcanoes],The whole island is considered; summit region includes several peaks; closed elevation contour(s) not representative,NO,Large but open crater,Totally,51.985,179.601,0,1186,223,16.9,14.5,20.8,78.8,10.0,1.18,1.19,54,56,0.070,0.594,1.52,1.23,1.90,2.17,12.0,9.3,9.4,9.2,15.9,11.0,0.21,78,93,35,9,26,2,1,1,4,18,100,0.08,15.3,250,0.21, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1101-07-,Gareloi,Aleutian Is,Stratovolcano,,NO,,Totally,51.788,-178.795,0,1533,66.5,9.20,7.76,10.5,0.23,0.54,1.52,1.53,28.6,29.3,0.166,0.059,1.32,1.10,1.57,1.11,18.0,18.0,13.5,18.8,16.3,29.6,0.88,156,31,2,2,0,0,0,0,28,1,100,0.07,8.49,1450,0.95, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1101-08-,Tanaga,Aleutian Is,Stratovolcanoes,Summit region includes three main peaks,NO,,Partially,51.883,-178.144,0,1777,60.2,8.76,6.78,11.3,15.0,4.37,1.53,1.78,30.2,41.2,0.175,0.499,1.69,1.16,2.68,1.11,23.7,23.5,23.5,23.4,24.4,24.8,0.53,64,72,5,2,3,0,0,0,5,15,800,0.45,5.53,1000,0.56, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1101-09-,Takawangha,Aleutian Is,Stratovolcano,Summit region includes two peaks,NO,Small crater,Partially,51.867,-178.030,0,1409,50.2,8.00,6.14,10.4,2.58,1.81,0.93,1.41,15.7,38.2,0.117,0.227,1.70,1.21,2.06,1.13,17.6,18.0,17.9,18.2,10.9,19.9,0.71,29,74,4,2,2,0,0,0,7,2,1000,0.71,4.05,1300,0.92, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1101-10-,Bobrof,Aleutian Is,Stratovolcano,,NO,,Totally,51.906,-177.442,0,703,6.92,2.97,2.56,3.48,0.08,0.33,0.68,0.70,1.62,1.78,0.230,0.111,1.49,1.21,1.45,1.11,26.6,26.7,25.1,27.7,18.9,29.3,0.21,23,21,0,0,0,0,0,0,11,1,150,0.21,2.43,650,0.92, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1101-11-,Kanaga,Aleutian Is,Stratovolcano,,NO,,Partially,51.925,-177.163,0,1264,15.4,4.42,3.76,5.85,0.20,0.50,1.05,1.26,4.3,7.4,0.238,0.114,1.84,1.33,1.11,1.02,24.3,24.4,20.9,30.2,20.0,35.2,0.91,55,169,0,0,0,0,0,0,15,1,500,0.40,2.80,1200,0.95, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1101-111,Moffett,Aleutian Is,Stratovolcano,,NO,,Partially,51.937,-176.742,0,1146,69.1,9.38,7.79,10.2,6.82,2.95,1.10,1.15,24.1,28.2,0.117,0.314,1.21,1.16,2.17,1.48,16.8,16.0,15.9,16.1,23.5,24.0,0.65,63,44,6,4,2,0,0,0,10,7,300,0.26,7.46,750,0.65, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
1101-12-,Great Sitkin,Aleutian Is,Stratovolcano,Summit region includes two peaks,NO,,Partially,52.076,-176.112,0,1712,60.4,8.77,7.06,11.2,4.58,2.41,1.48,1.71,27.2,38.8,0.168,0.275,1.66,1.19,1.74,1.14,22.2,22.4,21.9,24.1,19.5,25.3,0.73,69,103,7,5,2,0,0,0,10,8,850,0.50,4.74,1300,0.76, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
